Date of conversion : 10/30/16,Time of conversion : 15:29:20 -07:00
Fit function for dominant peak from file "mono.res",asymmetry factor :  1.00
,detailed imbalance,Chi^2,peak,FWHM,position,%background,input file
  ,ok,   1.62,3.35E+03,  0.99,  -0.221,   2.01,   scan112.raw
  ,??,   1.48,3.01E+03,  0.92,  -4.540,   2.37,   scan115.raw
  ,ok,   1.20,1.59E+03,  1.00,   0.674,   2.64,   scan118.raw
  , ?,   3.39,1.60E+03,  1.03,   0.669,   2.36,   scan119.raw

PHOENIX module padd; 10/30/16 at 15:29:20 -07:00
energy (meV),counts,error of counts
-1.02191E+02, 0.00000E+00, 0.00000E+00
-1.01892E+02, 0.00000E+00, 0.00000E+00
-1.01593E+02, 0.00000E+00, 0.00000E+00
-1.01294E+02, 0.00000E+00, 0.00000E+00
-1.00995E+02, 0.00000E+00, 0.00000E+00
-1.00696E+02, 0.00000E+00, 0.00000E+00
-1.00397E+02, 8.40145E-02, 5.85268E-01
-1.00098E+02, 2.46118E+00, 3.11319E+00
-9.97985E+01, 2.54355E+00, 0.00000E+00
-9.94995E+01, 0.00000E+00, 0.00000E+00
-9.92004E+01, 5.00403E-02, 4.59479E-01
-9.89014E+01, 6.07910E-01, 1.37395E+00
-9.86023E+01, 1.01344E+00, 0.00000E+00
-9.83033E+01, 0.00000E+00, 0.00000E+00
-9.80043E+01, 1.06573E+00, 1.08534E+00
-9.77052E+01, 9.29054E-01, 1.57678E+00
-9.74062E+01, 9.00559E-01, 7.75589E-02
-9.71072E+01, 2.43184E-02, 6.35931E-01
-9.68081E+01, 5.62185E-01, 1.34190E+00
-9.65091E+01, 1.85962E+00, 1.55209E+00
-9.62100E+01, 1.01219E+00, 2.18975E-01
-9.59110E+01, 1.10231E+00, 1.10402E+00
-9.56120E+01, 0.00000E+00, 0.00000E+00
-9.53129E+01, 0.00000E+00, 0.00000E+00
-9.50139E+01, 0.00000E+00, 0.00000E+00
-9.47148E+01, 0.00000E+00, 0.00000E+00
-9.44158E+01, 7.96419E-02, 2.57216E-01
-9.41168E+01, 7.84423E-01, 8.07227E-01
-9.38177E+01, 4.42702E-01, 1.15105E+00
-9.35187E+01, 8.31724E-01, 1.92455E-01
-9.32196E+01, 2.15564E-02, 0.00000E+00
-9.29206E+01, 0.00000E+00, 0.00000E+00
-9.26216E+01, 0.00000E+00, 0.00000E+00
-9.23225E+01, 2.05835E-01, 4.79099E-01
-9.20235E+01, 9.69428E-01, 1.01029E+00
-9.17245E+01, 8.28121E-01, 7.96383E-01
-9.14254E+01, 0.00000E+00, 0.00000E+00
-9.11264E+01, 0.00000E+00, 0.00000E+00
-9.08273E+01, 1.98730E-01, 8.25757E-01
-9.05283E+01, 6.97170E-01, 2.44036E-01
-9.02293E+01, 1.79436E-01, 4.60801E-01
-8.99302E+01, 8.23760E-01, 9.66947E-01
-8.96312E+01, 1.78627E-01, 0.00000E+00
-8.93321E+01, 0.00000E+00, 0.00000E+00
-8.90331E+01, 0.00000E+00, 0.00000E+00
-8.87341E+01, 0.00000E+00, 0.00000E+00
-8.84350E+01, 0.00000E+00, 0.00000E+00
-8.81360E+01, 0.00000E+00, 0.00000E+00
-8.78369E+01, 0.00000E+00, 0.00000E+00
-8.75379E+01, 0.00000E+00, 0.00000E+00
-8.72389E+01, 0.00000E+00, 0.00000E+00
-8.69398E+01, 9.54204E-02, 1.17328E+00
-8.66408E+01, 1.12278E+00, 0.00000E+00
-8.63417E+01, 1.89025E-01, 3.97862E-01
-8.60427E+01, 7.21161E-01, 7.76664E-01
-8.57437E+01, 0.00000E+00, 0.00000E+00
-8.54446E+01, 0.00000E+00, 0.00000E+00
-8.51456E+01, 0.00000E+00, 0.00000E+00
-8.48466E+01, 0.00000E+00, 0.00000E+00
-8.45475E+01, 0.00000E+00, 0.00000E+00
-8.42485E+01, 0.00000E+00, 0.00000E+00
-8.39494E+01, 0.00000E+00, 0.00000E+00
-8.36504E+01, 2.34199E-01, 4.43828E-01
-8.33514E+01, 6.28225E-01, 7.26363E-01
-8.30523E+01, 1.73353E-01, 3.88432E-01
-8.27533E+01, 1.98861E+00, 1.51201E+00
-8.24542E+01, 1.41646E+00, 1.31245E+00
-8.21552E+01, 1.11704E+00, 9.41344E-01
-8.18562E+01, 4.84090E-01, 1.40103E-01
-8.15571E+01, 1.19355E+00, 1.21996E+00
-8.12581E+01, 1.12741E+00, 8.70830E-01
-8.09590E+01, 6.96019E-01, 7.63627E-01
-8.06600E+01, 0.00000E+00, 0.00000E+00
-8.03610E+01, 0.00000E+00, 0.00000E+00
-8.00619E+01, 1.37053E-01, 7.99021E-01
-7.97629E+01, 1.08573E+00, 1.35086E+00
-7.94639E+01, 1.27894E+00, 0.00000E+00
-7.91648E+01, 0.00000E+00, 0.00000E+00
-7.88658E+01, 3.45419E-02, 2.33760E-01
-7.85667E+01, 1.18189E+00, 1.26069E+00
-7.82677E+01, 1.02464E+00, 7.35156E-01
-7.79687E+01, 5.71743E-02, 5.64380E-01
-7.76696E+01, 1.31110E+00, 1.51267E+00
-7.73706E+01, 1.15738E+00, 1.82212E-01
-7.70715E+01, 3.29695E-01, 9.84426E-01
-7.67725E+01, 1.00653E+00, 1.10296E+00
-7.64735E+01, 1.38884E+00, 1.27514E+00
-7.61744E+01, 1.39593E+00, 0.00000E+00
-7.58754E+01, 0.00000E+00, 0.00000E+00
-7.55763E+01, 0.00000E+00, 0.00000E+00
-7.52773E+01, 1.05894E-02, 5.38323E-01
-7.49783E+01, 3.33827E-01, 1.02210E+00
-7.46792E+01, 1.21134E+00, 8.40215E-01
-7.43802E+01, 6.20334E-01, 0.00000E+00
-7.40811E+01, 0.00000E+00, 0.00000E+00
-7.37821E+01, 1.98618E+00, 1.98066E+00
-7.34831E+01, 1.96598E+00, 7.29683E-01
-7.31840E+01, 5.35607E-01, 8.23927E-01
-7.28850E+01, 5.89954E-01, 0.00000E+00
-7.25860E+01, 9.32455E-01, 1.25818E+00
-7.22869E+01, 1.31056E+00, 7.49366E-01
-7.19879E+01, 6.51805E-03, 0.00000E+00
-7.16888E+01, 2.67970E-01, 4.75269E-01
-7.13898E+01, 6.59206E-01, 7.44133E-01
-7.10908E+01, 0.00000E+00, 0.00000E+00
-7.07917E+01, 3.89905E-02, 3.29234E-01
-7.04927E+01, 1.11190E+00, 1.67481E+00
-7.01936E+01, 2.08559E+00, 1.17265E+00
-6.98946E+01, 1.09557E+00, 7.88295E-01
-6.95956E+01, 1.86239E+00, 1.51992E+00
-6.92965E+01, 1.19741E+00, 8.17737E-01
-6.89975E+01, 5.23819E-01, 0.00000E+00
-6.86984E+01, 0.00000E+00, 0.00000E+00
-6.83994E+01, 0.00000E+00, 0.00000E+00
-6.81004E+01, 1.94863E-01, 4.05366E-01
-6.78013E+01, 9.16726E-01, 8.79015E-01
-6.75023E+01, 6.18952E-01, 7.22108E-01
-6.72032E+01, 7.00414E-01, 1.59454E+00
-6.69042E+01, 1.77687E+00, 6.27861E-01
-6.66052E+01, 1.85787E-01, 2.75409E-01
-6.63061E+01, 5.80873E-01, 1.07564E+00
-6.60071E+01, 1.29367E+00, 9.06800E-01
-6.57081E+01, 3.81015E-01, 3.12231E-01
-6.54090E+01, 6.37913E-01, 9.67083E-01
-6.51100E+01, 1.72533E+00, 1.54280E+00
-6.48109E+01, 1.62177E+00, 9.09556E-01
-6.45119E+01, 5.70881E-01, 1.17805E+00
-6.42129E+01, 1.25296E+00, 1.19089E+00
-6.39138E+01, 1.19316E+00, 6.80669E-01
-6.36148E+01, 8.75264E-01, 1.00131E+00
-6.33157E+01, 1.38050E+00, 8.81941E-01
-6.30167E+01, 6.42910E-01, 8.20476E-01
-6.27177E+01, 4.31752E-01, 9.33980E-01
-6.24186E+01, 1.03247E+00, 8.38513E-01
-6.21196E+01, 2.12768E+00, 1.36031E+00
-6.18205E+01, 3.76591E+00, 2.04386E+00
-6.15215E+01, 1.87883E+00, 1.14182E+00
-6.12225E+01, 2.51180E+00, 1.53503E+00
-6.09234E+01, 3.01630E+00, 1.67777E+00
-6.06244E+01, 1.17666E+00, 9.29322E-01
-6.03254E+01, 1.10375E+00, 1.79239E+00
-6.00263E+01, 2.28281E+00, 1.74844E+00
-5.97273E+01, 1.04493E+00, 1.28731E+00
-5.94282E+01, 2.03654E+00, 1.24984E+00
-5.91292E+01, 3.47479E+00, 1.80769E+00
-5.88302E+01, 2.67244E+00, 1.77265E+00
-5.85311E+01, 2.15922E+00, 1.64738E+00
-5.82321E+01, 2.65586E+00, 1.51447E+00
-5.79330E+01, 1.04556E+00, 1.13316E+00
-5.76340E+01, 1.75774E+00, 1.38187E+00
-5.73350E+01, 4.14976E+00, 2.02562E+00
-5.70359E+01, 1.82559E+00, 8.85284E-01
-5.67369E+01, 1.65172E+00, 1.66707E+00
-5.64378E+01, 5.76144E+00, 2.62295E+00
-5.61388E+01, 3.82655E+00, 1.92184E+00
-5.58398E+01, 2.56659E+00, 9.23233E-01
-5.55407E+01, 2.03458E+00, 1.30957E+00
-5.52417E+01, 1.38623E+00, 1.46911E+00
-5.49426E+01, 5.17566E+00, 2.81603E+00
-5.46436E+01, 5.59209E+00, 2.11479E+00
-5.43446E+01, 5.69555E+00, 2.34285E+00
-5.40455E+01, 2.77176E+00, 1.66897E+00
-5.37465E+01, 1.69831E+00, 1.39173E+00
-5.34475E+01, 3.40693E+00, 1.93952E+00
-5.31484E+01, 4.43029E+00, 2.16620E+00
-5.28494E+01, 3.38496E+00, 1.81624E+00
-5.25503E+01, 3.96860E+00, 2.18889E+00
-5.22513E+01, 3.82371E+00, 1.85686E+00
-5.19523E+01, 2.06442E+00, 1.22975E+00
-5.16532E+01, 2.38183E+00, 1.81944E+00
-5.13542E+01, 2.81629E+00, 1.55823E+00
-5.10551E+01, 2.49110E+00, 1.55876E+00
-5.07561E+01, 6.48657E+00, 2.68985E+00
-5.04571E+01, 5.94089E+00, 2.20446E+00
-5.01580E+01, 4.48770E+00, 2.14672E+00
-4.98590E+01, 2.79854E+00, 1.39008E+00
-4.95599E+01, 4.62323E+00, 2.44865E+00
-4.92609E+01, 5.63088E+00, 2.54958E+00
-4.89619E+01, 5.73614E+00, 2.26006E+00
-4.86628E+01, 5.94183E+00, 2.36192E+00
-4.83638E+01, 6.21435E+00, 2.30428E+00
-4.80648E+01, 3.29040E+00, 1.91638E+00
-4.77657E+01, 2.86460E+00, 1.58112E+00
-4.74667E+01, 4.45790E+00, 2.55394E+00
-4.71676E+01, 6.50990E+00, 2.25168E+00
-4.68686E+01, 5.31671E+00, 2.10268E+00
-4.65696E+01, 3.25466E+00, 1.72308E+00
-4.62705E+01, 3.07183E+00, 1.68935E+00
-4.59715E+01, 5.57041E+00, 2.61693E+00
-4.56724E+01, 5.57330E+00, 2.42342E+00
-4.53734E+01, 5.90850E+00, 2.07817E+00
-4.50744E+01, 5.28802E+00, 2.50803E+00
-4.47753E+01, 6.67893E+00, 2.68194E+00
-4.44763E+01, 6.94489E+00, 2.58995E+00
-4.41772E+01, 6.41131E+00, 2.89093E+00
-4.38782E+01, 8.56015E+00, 3.14122E+00
-4.35792E+01, 7.95564E+00, 2.70063E+00
-4.32801E+01, 8.97900E+00, 3.31226E+00
-4.29811E+01, 1.08649E+01, 3.15241E+00
-4.26820E+01, 1.11625E+01, 3.25977E+00
-4.23830E+01, 5.76984E+00, 1.74207E+00
-4.20840E+01, 3.72277E+00, 2.25870E+00
-4.17849E+01, 8.16972E+00, 3.25803E+00
-4.14859E+01, 9.97364E+00, 3.38705E+00
-4.11869E+01, 1.20102E+01, 3.76031E+00
-4.08878E+01, 1.31170E+01, 3.18773E+00
-4.05888E+01, 1.10424E+01, 3.50823E+00
-4.02897E+01, 1.26048E+01, 3.11979E+00
-3.99907E+01, 8.46332E+00, 2.84195E+00
-3.96917E+01, 7.56498E+00, 3.38757E+00
-3.93926E+01, 9.95250E+00, 2.72957E+00
-3.90936E+01, 1.00575E+01, 3.90409E+00
-3.87945E+01, 1.49320E+01, 4.39753E+00
-3.84955E+01, 1.66744E+01, 4.28658E+00
-3.81965E+01, 2.12024E+01, 5.00508E+00
-3.78974E+01, 2.69803E+01, 5.79073E+00
-3.75984E+01, 4.02734E+01, 6.76558E+00
-3.72993E+01, 5.13855E+01, 7.50874E+00
-3.70003E+01, 5.68896E+01, 8.45510E+00
-3.67013E+01, 7.56363E+01, 9.41040E+00
-3.64022E+01, 9.20237E+01, 1.00281E+01
-3.61032E+01, 1.07475E+02, 1.03245E+01
-3.58042E+01, 1.17075E+02, 1.10267E+01
-3.55051E+01, 1.23144E+02, 1.07090E+01
-3.52061E+01, 1.02616E+02, 1.00272E+01
-3.49070E+01, 1.00913E+02, 1.02798E+01
-3.46080E+01, 1.07324E+02, 1.02861E+01
-3.43090E+01, 8.88183E+01, 9.33888E+00
-3.40099E+01, 8.09204E+01, 8.88589E+00
-3.37109E+01, 8.75610E+01, 9.14488E+00
-3.34118E+01, 6.93097E+01, 8.47016E+00
-3.31128E+01, 6.76717E+01, 8.14667E+00
-3.28138E+01, 6.25791E+01, 7.97802E+00
-3.25147E+01, 6.54305E+01, 8.03727E+00
-3.22157E+01, 7.38370E+01, 8.55957E+00
-3.19166E+01, 7.70228E+01, 8.95090E+00
-3.16176E+01, 7.69930E+01, 8.78358E+00
-3.13186E+01, 9.01810E+01, 9.57422E+00
-3.10195E+01, 8.41693E+01, 9.14497E+00
-3.07205E+01, 8.81150E+01, 9.73830E+00
-3.04214E+01, 1.00175E+02, 9.93370E+00
-3.01224E+01, 1.09184E+02, 1.06514E+01
-2.98234E+01, 1.11679E+02, 1.05593E+01
-2.95243E+01, 1.13470E+02, 1.06239E+01
-2.92253E+01, 1.07095E+02, 1.02938E+01
-2.89263E+01, 1.12018E+02, 1.07753E+01
-2.86272E+01, 1.35310E+02, 1.20975E+01
-2.83282E+01, 1.54610E+02, 1.24167E+01
-2.80291E+01, 1.53482E+02, 1.23165E+01
-2.77301E+01, 1.42347E+02, 1.17834E+01
-2.74311E+01, 1.33761E+02, 1.18751E+01
-2.71320E+01, 1.57025E+02, 1.28318E+01
-2.68330E+01, 1.70064E+02, 1.29082E+01
-2.65339E+01, 1.65495E+02, 1.30392E+01
-2.62349E+01, 1.86631E+02, 1.38591E+01
-2.59359E+01, 1.75177E+02, 1.28515E+01
-2.56368E+01, 1.56524E+02, 1.21928E+01
-2.53378E+01, 1.57233E+02, 1.27374E+01
-2.50387E+01, 1.70142E+02, 1.32767E+01
-2.47397E+01, 1.74212E+02, 1.30879E+01
-2.44407E+01, 1.72322E+02, 1.34369E+01
-2.41416E+01, 1.84810E+02, 1.37745E+01
-2.38426E+01, 1.94719E+02, 1.41447E+01
-2.35435E+01, 2.32136E+02, 1.59140E+01
-2.32445E+01, 2.45958E+02, 1.53093E+01
-2.29455E+01, 2.23289E+02, 1.48587E+01
-2.26464E+01, 2.18200E+02, 1.48048E+01
-2.23474E+01, 2.28068E+02, 1.50339E+01
-2.20484E+01, 2.32219E+02, 1.54513E+01
-2.17493E+01, 2.37997E+02, 1.58626E+01
-2.14503E+01, 2.47594E+02, 1.55254E+01
-2.11512E+01, 2.30948E+02, 1.48889E+01
-2.08522E+01, 2.29363E+02, 1.56755E+01
-2.05532E+01, 2.44964E+02, 1.55983E+01
-2.02541E+01, 2.36914E+02, 1.53394E+01
-1.99551E+01, 2.32498E+02, 1.51954E+01
-1.96560E+01, 2.22534E+02, 1.46665E+01
-1.93570E+01, 2.33872E+02, 1.57714E+01
-1.90580E+01, 2.34913E+02, 1.47046E+01
-1.87589E+01, 1.99013E+02, 1.38828E+01
-1.84599E+01, 1.97250E+02, 1.45711E+01
-1.81608E+01, 2.07547E+02, 1.45620E+01
-1.78618E+01, 2.04367E+02, 1.41193E+01
-1.75628E+01, 2.05035E+02, 1.42133E+01
-1.72637E+01, 1.91919E+02, 1.33545E+01
-1.69647E+01, 1.81817E+02, 1.38658E+01
-1.66657E+01, 1.92805E+02, 1.37961E+01
-1.63666E+01, 1.84839E+02, 1.39822E+01
-1.60676E+01, 1.89689E+02, 1.35219E+01
-1.57685E+01, 1.90753E+02, 1.36202E+01
-1.54695E+01, 1.74043E+02, 1.35231E+01
-1.51705E+01, 1.83668E+02, 1.36575E+01
-1.48714E+01, 1.94750E+02, 1.38891E+01
-1.45724E+01, 1.84077E+02, 1.33477E+01
-1.42733E+01, 1.64380E+02, 1.31102E+01
-1.39743E+01, 1.69640E+02, 1.29789E+01
-1.36753E+01, 1.73622E+02, 1.34229E+01
-1.33762E+01, 1.79078E+02, 1.36395E+01
-1.30772E+01, 1.76073E+02, 1.28001E+01
-1.27781E+01, 1.55991E+02, 1.24224E+01
-1.24791E+01, 1.55322E+02, 1.29070E+01
-1.21801E+01, 1.76122E+02, 1.31891E+01
-1.18810E+01, 1.79651E+02, 1.33665E+01
-1.15820E+01, 1.69967E+02, 1.31445E+01
-1.12829E+01, 1.69905E+02, 1.28722E+01
-1.09839E+01, 1.70317E+02, 1.31679E+01
-1.06849E+01, 1.85550E+02, 1.36744E+01
-1.03858E+01, 1.86157E+02, 1.36385E+01
-1.00868E+01, 1.86639E+02, 1.36898E+01
-9.78775E+00, 1.82507E+02, 1.37826E+01
-9.48871E+00, 1.89460E+02, 1.39015E+01
-9.18968E+00, 1.77626E+02, 1.33698E+01
-8.89064E+00, 1.74394E+02, 1.34526E+01
-8.59160E+00, 2.03464E+02, 1.44013E+01
-8.29256E+00, 1.87084E+02, 1.33227E+01
-7.99352E+00, 1.76975E+02, 1.33696E+01
-7.69448E+00, 1.90128E+02, 1.39353E+01
-7.39544E+00, 2.02322E+02, 1.43420E+01
-7.09640E+00, 1.88210E+02, 1.35687E+01
-6.79736E+00, 1.86258E+02, 1.40246E+01
-6.49832E+00, 2.16269E+02, 1.50261E+01
-6.19929E+00, 2.17716E+02, 1.44978E+01
-5.90025E+00, 1.93697E+02, 1.40038E+01
-5.60121E+00, 2.18603E+02, 1.52192E+01
-5.30217E+00, 2.31231E+02, 1.50885E+01
-5.00313E+00, 2.15235E+02, 1.48964E+01
-4.70409E+00, 2.42018E+02, 1.59234E+01
-4.40505E+00, 2.32976E+02, 1.49367E+01
-4.10601E+00, 2.36911E+02, 1.57925E+01
-3.80697E+00, 2.59757E+02, 1.64762E+01
-3.50793E+00, 2.43843E+02, 1.55359E+01
-3.20890E+00, 2.50621E+02, 1.62613E+01
-2.90986E+00, 2.81092E+02, 1.74729E+01
-2.61082E+00, 2.99782E+02, 1.75718E+01
-2.31178E+00, 3.18495E+02, 1.83137E+01
-2.01274E+00, 3.94176E+02, 2.05835E+01
-1.71370E+00, 4.64699E+02, 2.24637E+01
-1.41466E+00, 5.97284E+02, 2.68885E+01
